Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Hiking,2026-03-24 09:18:19,false,"Eastvale Hiking","3.18","283","00:57:32","108","125","1.5","103","144","18:07","15:42","92","95","0.86","0.0","6,044","-7","78.8","No","00:03:24.2","4","86.0","00:57:29","00:57:41","562","610"
Hiking,2026-03-21 07:43:37,false,"San Bernardino County Hiking","8.88","1,542","05:27:44","126","157","3.0","56","249","36:57","8:27","4,121","4,098","0.83","0.0","21,366","-30","59.0","No","00:22:41","9","86.0","03:44:17","05:27:44","6,136","10,112"
Hiking,2026-03-18 08:56:41,false,"Eastvale Hiking","3.17","281","00:59:00","102","115","1.4","101","126","18:38","15:22","102","98","0.86","0.0","6,112","-4","82.4","No","00:03:17.8","4","89.6","00:58:54","00:59:00","562","612"
Hiking,2026-03-16 08:51:59,false,"Eastvale Hiking","3.18","274","00:58:13","104","123","1.5","105","137","18:19","11:56","108","98","0.84","0.0","6,136","-6","78.8","No","00:03:27.9","4","91.4","00:58:08","00:58:13","571","615"
Hiking,2026-03-14 06:46:56,false,"Sierra Madre Hiking","14.82","1,867","06:35:58","130","158","3.4","79","250","26:43","8:24","5,049","5,052","0.77","0.0","35,034","-33","60.8","No","00:19:34","15","91.4","05:47:37","06:35:58","991","5,694"
Hiking,2026-03-12 10:03:14,false,"Eastvale Hiking","3.16","274","00:57:45","108","125","1.5","103","125","18:18","13:26","105","105","0.85","0.0","6,072","-5","80.6","No","00:02:59.1","4","95.0","00:57:27","00:57:45","568","617"
Hiking,2026-03-10 09:19:06,false,"Eastvale Hiking","3.22","276","00:58:46","106","117","1.6","102","128","18:16","16:09","102","98","0.86","0.0","6,236","-6","73.4","No","00:04:11.2","4","78.8","00:58:43","00:58:46","562","611"
Hiking,2026-03-07 08:53:41,false,"Orange County Hiking","4.39","761","02:10:39","134","161","3.4","75","225","29:48","7:45","2,159","2,152","0.72","0.0","10,958","-16","62.6","No","00:07:59.9","5","84.2","01:47:47","02:10:44","1,181","2,314"
Hiking,2026-03-05 09:26:39,false,"Eastvale Hiking","3.13","278","00:58:25","107","127","1.6","102","223","18:39","15:32","102","98","0.84","0.0","6,020","-7","78.8","No","00:02:28.8","4","82.4","00:56:33","00:58:30","564","613"
Hiking,2026-03-03 09:37:15,false,"Eastvale Hiking","3.19","285","00:58:36","111","134","1.7","102","211","18:22","16:09","112","105","0.86","0.0","6,016","-7","75.2","No","00:03:30.0","4","82.4","00:56:38","00:58:43","565","614"
Hiking,2026-03-01 11:06:38,false,"Corona Hiking","9.49","1,423","04:45:04","130","159","3.7","68","221","30:02","1:41","3,235","3,248","0.76","0.0","20,504","-19","78.8","No","00:01:14.7","10","96.8","03:22:14","04:45:04","1,089","3,898"
Hiking,2026-02-22 06:16:19,false,"Los Angeles County Hiking","13.60","1,785","06:34:38","126","153","3.2","67","207","29:00","4:07","4,501","4,465","0.94","0.0","31,836","-28","48.2","No","00:17:23","14","84.2","05:16:33","06:34:38","1,806","5,693"
Hiking,2026-02-15 06:29:37,false,"Los Angeles County Hiking","15.01","1,985","06:39:24","128","165","3.7","75","223","26:37","4:34","4,770","4,738","0.82","0.0","33,408","-39","53.6","No","00:00:03.9","16","77.0","05:33:22","06:39:45","1,806","5,762"
Hiking,2026-02-08 10:30:07,false,"Lake Elsinore Hiking","7.09","720","02:17:10","124","157","2.8","94","231","19:20","1:08","1,066","1,198","0.88","0.0","13,604","-12","84.2","No","00:00:06.1","8","95.0","02:05:22","02:17:10","1,245","1,864"
Hiking,2026-02-07 08:51:08,false,"San Bernardino County Hiking","8.83","1,496","05:27:29","125","147","3.0","58","242","37:06","11:06","4,121","4,117","0.81","0.0","21,998","-35","44.6","No","00:15:50","9","77.0","03:47:58","05:27:29","6,114","10,089"
Hiking,2026-01-31 08:55:00,false,"San Bernardino County Hiking","8.65","1,502","05:24:37","128","150","3.2","56","210","37:31","11:09","4,042","4,035","0.87","0.0","21,884","-30","60.8","No","00:11:22","9","84.2","03:50:12","05:24:37","6,129","10,111"
Hiking,2026-01-29 11:29:23,false,"Los Angeles Hiking","2.04","313","00:40:13","140","162","3.0","65","231","19:42","1:29","528","686","1.15","0.0","3,180","-7","75.2","No","00:00:03.2","3","84.2","00:29:30","00:40:13","466","1,081"
Hiking,2026-01-25 09:31:00,false,"San Bernardino County Hiking","9.19","1,525","05:21:23","128","151","3.3","58","230","34:58","1:34","3,996","4,242","0.81","0.0","20,956","-37","50.0","No","00:00:27.8","10","75.2","03:46:45","05:21:23","5,909","10,072"
Hiking,2026-01-20 06:32:31,false,"Coconino County Hiking","16.74","2,230","08:39:50","117","151","3.2","54","224","31:03","6:37","4,577","4,557","1.03","0.0","35,732","-24","44.6","No","00:21:00","17","86.0","06:37:58","08:39:50","2,402","6,892"
Hiking,2026-01-17 08:27:05,false,"San Bernardino County Hiking","8.76","1,657","05:45:33","128","155","3.2","56","223","39:27","9:33","4,078","4,088","0.76","0.0","22,278","-36","62.6","No","00:16:02","9","82.4","03:47:02","05:45:33","6,123","10,078"
